# INTERESTING ENZYMES
# from deletion experiment 
enzyme(s)	standard name	pathway	deletion span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status	why
TPI1	YDR050C	Glycolysis	phase 1	24	1.0434782608695652	0.09154204501667164	0.0478594090470187	27.800000000000125	23.0	0.18413582253945265	0.0	0.0	NaN	72.20000000000017	1.0	0.23515301838893074	alive	increased lifespan but only in specific phase
PGI1	YBR196C	Glycolysis	phase 1	24	1.0434782608695652	0.2504413820219202	0.05800515106723341	34.70000000000022	22.0	0.18146713512869425	0.0	0.0	NaN	60.100000000000584	2.0	0.3036157194432415	dead (regular)	increased lifespan but only in specific phase
COX5B	YIL111W	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan but only in specific phase
COX6	YHR051W	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan but only in specific phase
COX4	YGL187C	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan but only in specific phase
COX8	YLR395C	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan but only in specific phase
COX7	YMR256C	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan but only in specific phase
COX13	YGL191W	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan but only in specific phase
COX12	YLR038C	Oxidative Phosphorylation	phase 2	25	1.0869565217391304	0.853673703839724	0.5942644898486605	23.800000000000068	16.0	0.02074340867030759	13.799999999999967	5.0	0.07875270032035833	5.299999999999997	4.0	0.25997616187746986	dead (regular)	increased lifespan but only in specific phase
ADH5,ADH1	YBR145W,YOL086C	Anaerobic excretion	phase 2	26	1.1304347826086956	0.7509879717560036	0.5238091650773115	23.800000000000068	16.0	0.02074340867030759	33.1000000000002	10.0	0.2907029804320296	0.0	0.0	NaN	dead (regular)	increased lifespan but only in specific phase
PGK1	YCR012W	Glycolysis	phase 1	23	1.0	1.1105379125220436	0.0	40.0000000000003	22.0	0.20495690661455557	0.0	0.0	NaN	45.70000000000038	1.0	0.2658745744282429	dead (regular)	more used despite deletion
PFK2	YMR205C	Glycolysis	phase 1	23	1.0	1.077912007323555	0.0	39.20000000000029	22.0	0.2017511787435087	0.0	0.0	NaN	44.600000000000364	1.0	0.26175052898731505	dead (regular)	more used despite deletion
TDH3,TDH1,TDH2	YGR192C,YJL052W,YJR009C	Glycolysis	phase 1	23	1.0	1.0154790585605897	0.0	40.0000000000003	22.0	0.20495690661455557	0.0	0.0	NaN	45.70000000000038	1.0	0.2658745744282429	dead (regular)	more used despite deletion
ERR2,ENO1,ENO2,ERR3,ERR1	YPL281C,YGR254W,YHR174W,YMR323W,YOR393W	Glycolysis	phase 1	23	1.0	1.3403352670494122	0.0	40.0000000000003	22.0	0.20495690661455557	0.0	0.0	NaN	45.70000000000038	1.0	0.2658745744282429	dead (regular)	more used despite deletion
CDC19,PYK2	YAL038W,YOR347C	Glycolysis	phase 1	23	1.0	1.0425372951088432	0.0	40.0000000000003	22.0	0.20495690661455557	0.0	0.0	NaN	45.70000000000038	1.0	0.2658745744282429	dead (regular)	more used despite deletion
LPD1	YFL018C	Other	phase 2	23	1.0	1.2913338802804695	0.0	23.800000000000068	16.0	0.02074340867030759	9.199999999999983	5.0	0.18103241348721127	23.20000000000006	2.0	0.3031588130823982	dead (regular)	more used despite deletion
LAT1	YNL071W	Other	phase 2	23	1.0	1.2913337921974772	0.0	23.800000000000068	16.0	0.02074340867030759	9.199999999999983	5.0	0.1810324123589676	23.20000000000006	2.0	0.30315881120202426	dead (regular)	more used despite deletion
PDA1	YER178W	Other	phase 2	23	1.0	1.2913338802804695	0.0	23.800000000000068	16.0	0.02074340867030759	9.199999999999983	5.0	0.18103241348721127	23.20000000000006	2.0	0.3031588130823982	dead (regular)	more used despite deletion
PDX1	YGR193C	Other	phase 2	23	1.0	1.2913337921974772	0.0	23.800000000000068	16.0	0.02074340867030759	9.199999999999983	5.0	0.1810324123589676	23.20000000000006	2.0	0.30315881120202426	dead (regular)	more used despite deletion
PDB1	YBR221C	Other	phase 2	23	1.0	1.2913338802804695	0.0	23.800000000000068	16.0	0.02074340867030759	9.199999999999983	5.0	0.18103241348721127	23.20000000000006	2.0	0.3031588130823982	dead (regular)	more used despite deletion
