# DELETION SIMULATIONS
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
# non-metabolic damage formation f0 = 0.0001
# damage repair r0 = 0.0005
enzyme(s)	standard name	pathway	deletion span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
QCR8	YJL166W	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
FBP1	YLR377C	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340849539503	10.599999999999978	6.0	0.2085188768975264	5.899999999999995	1.0	0.27046882883654544	dead (regular)
ATP5	YDR298C	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.21670213873466368	8.399999999999986	1.0	0.2807975761938618	dead (regular)
LPD1	YFL018C	Other	complete	23	1.0	0.0	0.0	22.700000000000053	15.0	0.015633763782564817	9.799999999999981	6.0	0.1624107125060854	13.699999999999967	2.0	0.27309650406342223	dead (regular)
ERR1	YOR393W	Glycolysis	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.019964208487999374	9.599999999999982	6.0	0.19248518208741475	4.200000000000001	1.0	0.24985179292682858	dead (regular)
ERR2	YPL281C	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743411444085764	10.19999999999998	6.0	0.20011401759398859	4.899999999999999	1.0	0.2596770999869314	dead (regular)
COX7	YMR256C	Oxidative Phosphorylation	complete	18	0.782608695652174	0.0	-0.21739130434782608	21.20000000000003	9.0	0.004684453663830325	11.999999999999973	8.0	0.07574954079710877	13.499999999999968	1.0	0.09848402136482831	dead (regular)
PCK1	YKR097W	Other	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340858442409	10.499999999999979	6.0	0.20659328237589628	5.599999999999996	1.0	0.26800469999698623	dead (regular)
PYC1	YGL062W	TCA	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743431237765494	10.599999999999978	6.0	0.20851910305470991	6.199999999999994	1.0	0.27043838012685806	dead (regular)
ZWF1	YNL241C	Pentose phosphate	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
LAT1	YNL071W	Other	complete	23	1.0	0.0	0.0	22.700000000000053	15.0	0.015633763782564817	9.799999999999981	6.0	0.1624107125060854	13.699999999999967	2.0	0.27309650406342223	dead (regular)
PGI1	YBR196C	Glycolysis	complete	7	0.30434782608695654	0.0	-0.6956521739130435	0.0	0.0	NaN	0.0	0.0	NaN	99.9999999999986	7.0	0.012695712647073646	alive
FBA1	YKL060C	Glycolysis	complete	1	0.043478260869565216	0.0	-0.9565217391304348	0.0	0.0	NaN	0.0	0.0	NaN	99.9999999999986	1.0	0.0053813682064722534	alive
TAL1	YLR354C	Pentose phosphate	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
PDA1	YER178W	Other	complete	23	1.0	0.0	0.0	22.700000000000053	15.0	0.015633763782564817	9.799999999999981	6.0	0.1624107125060854	13.699999999999967	2.0	0.27309650406342223	dead (regular)
PDX1	YGR193C	Other	complete	23	1.0	0.0	0.0	22.700000000000053	15.0	0.015633763782564817	9.799999999999981	6.0	0.1624107125060854	13.699999999999967	2.0	0.27309650406342223	dead (regular)
PDC5	YLR134W	Anaerobic excretion	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743391132311897	8.099999999999987	5.0	0.16052099551527904	8.599999999999985	2.0	0.2704418885185528	dead (regular)
PFK1	YGR240C	Glycolysis	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.02074340863540538	10.599999999999978	6.0	0.20851887964118057	6.199999999999994	1.0	0.27043809076769104	dead (regular)
PFK2	YMR205C	Glycolysis	complete	1	0.043478260869565216	0.0	-0.9565217391304348	0.0	0.0	NaN	0.0	0.0	NaN	99.9999999999986	1.0	0.0053935479972994395	alive
MDH1	YKL085W	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
GLK1	YCL040W	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743400091528856	10.599999999999978	6.0	0.20851214096874715	6.199999999999994	1.0	0.2704293630212081	dead (regular)
ACO1	YLR304C	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
COX11	YPL132W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.020002879345176434	10.09999999999998	6.0	0.20410710312730557	5.4999999999999964	1.0	0.26479341568873155	dead (regular)
KGD1	YIL125W	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATP15	YPL271W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
SDH2	YLL041C	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
DAL7	YIR031C	Anaplerotic reactions 	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408484330556	10.599999999999978	6.0	0.20851887955384713	6.199999999999994	1.0	0.27043809065457847	dead (regular)
IDP1	YDL066W	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
QCR9	YGR183C	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
TKL1	YPR074C	Pentose phosphate	complete	23	1.0	0.0	0.0	23.20000000000006	16.0	0.020091764966011817	9.599999999999982	6.0	0.1919976658181206	4.300000000000001	1.0	0.24921064396156123	dead (regular)
PDC6	YGR087C	Anaerobic excretion	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340492262826	8.099999999999987	5.0	0.16051891946919136	8.599999999999985	2.0	0.2704383980579889	dead (regular)
ICL1	YER065C	Anaplerotic reactions 	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074339575701077	10.599999999999978	6.0	0.20848727110917104	6.199999999999994	1.0	0.27039715225097394	dead (regular)
ATP7	YKL016C	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
MLS1	YNL117W	Anaplerotic reactions 	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408596634177	10.599999999999978	6.0	0.20851887865850405	6.199999999999994	1.0	0.27043808949495485	dead (regular)
PYC2	YBR218C	TCA	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408590613382	10.599999999999978	6.0	0.20852072087909934	6.199999999999994	1.0	0.27044047548929967	dead (regular)
NDI1	YML120C	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
PDB1	YBR221C	Other	complete	23	1.0	0.0	0.0	22.700000000000053	15.0	0.015633763782564817	9.799999999999981	6.0	0.1624107125060854	13.699999999999967	2.0	0.27309650406342223	dead (regular)
COX13	YGL191W	Oxidative Phosphorylation	complete	18	0.782608695652174	0.0	-0.21739130434782608	21.20000000000003	9.0	0.004684453663830325	11.999999999999973	8.0	0.07574954079710877	13.499999999999968	1.0	0.09848402136482831	dead (regular)
TKL2	YBR117C	Pentose phosphate	complete	23	1.0	0.0	0.0	23.90000000000007	16.0	0.020791651910248173	10.499999999999979	6.0	0.2101073816870106	6.199999999999994	1.0	0.2724954757021873	dead (regular)
PGM1	YKL127W	Galactose metabolism	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408402862637	10.599999999999978	6.0	0.2085188759888106	6.199999999999994	1.0	0.2704380860372397	dead (regular)
SDH3	YKL141W	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
PGM2	YMR105C	Galactose metabolism	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408559613572	10.19999999999998	6.0	0.20011391744873325	4.999999999999998	1.0	0.2596673698500943	dead (regular)
SDH4	YDR178W	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
QCR10	YHR001W-A	Oxidative Phosphorylation	complete	0	0.0	0.0	-1.0	21.10000000000003	0.0	0.0009871891965550338	0.0	0.0	NaN	0.0	0.0	NaN	dead (regular)
ATP3	YBR039W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
ADH5	YBR145W	Anaerobic excretion	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.02074340855581529	10.599999999999978	6.0	0.20851887809419897	6.199999999999994	1.0	0.270438088764082	dead (regular)
GND1	YHR183W	Pentose phosphate	complete	23	1.0	0.0	0.0	23.90000000000007	16.0	0.020750525092446064	10.29999999999998	6.0	0.20103014440745706	5.1999999999999975	1.0	0.2608355555387409	dead (regular)
COX23	YHR116W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.020002879345176434	10.09999999999998	6.0	0.20410720708881572	5.4999999999999964	1.0	0.2647935503934357	dead (regular)
SOL3	YHR163W	Pentose phosphate	complete	23	1.0	0.0	0.0	23.90000000000007	16.0	0.020759669061164374	10.29999999999998	6.0	0.20116971680629084	5.1999999999999975	1.0	0.2610164344337823	dead (regular)
ALD5	YER073W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	complete	23	1.0	0.0	0.0	23.600000000000065	16.0	0.020482481593239794	10.19999999999998	6.0	0.20333717809369686	5.599999999999996	1.0	0.2637859632262961	dead (regular)
GPP2	YER062C	Anaerobic excretion	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408447855806	10.599999999999978	6.0	0.20851888596169857	6.199999999999994	1.0	0.2704380989538549	dead (regular)
NDE1	YMR145C	Oxidative Phosphorylation	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.02074340853438693	10.599999999999978	6.0	0.20851888802119156	6.199999999999994	1.0	0.2704381016212547	dead (regular)
GPP1	YIL053W	Anaerobic excretion	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743407212563198	10.599999999999978	6.0	0.20851918158552404	6.199999999999994	1.0	0.27043848183784713	dead (regular)
GPD2	YOL059W	Anaerobic excretion	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.02074340840051477	10.599999999999978	6.0	0.2085188774797118	6.199999999999994	1.0	0.2704380879682152	dead (regular)
ERR3	YMR323W	Glycolysis	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.01996422091963085	9.599999999999982	6.0	0.19248503532012043	4.200000000000001	1.0	0.24985160260955053	dead (regular)
CIT3	YPR001W	TCA	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408565366186	10.599999999999978	6.0	0.20851888640388733	6.199999999999994	1.0	0.27043809952656567	dead (regular)
ALD4	YOR374W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408561269713	10.29999999999998	6.0	0.20011021607759313	5.1999999999999975	1.0	0.2596433741245551	dead (regular)
RPE1	YJL121C	Pentose phosphate	complete	22	0.9565217391304348	0.0	-0.043478260869565216	24.70000000000008	16.0	0.02175868955500087	8.999999999999984	5.0	0.19738496662772176	4.999999999999998	1.0	0.25613036074257145	dead (regular)
SDH9	YJL045W	TCA	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408635381745	10.599999999999978	6.0	0.20851887850491116	6.199999999999994	1.0	0.27043808929602525	dead (regular)
COX16	YJL003W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.020002879170559363	10.09999999999998	6.0	0.20410700514947738	5.4999999999999964	1.0	0.26479328873718777	dead (regular)
ALD2	YMR170C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408592645333	10.29999999999998	6.0	0.2001102166652326	5.1999999999999975	1.0	0.25964337488610656	dead (regular)
PYK2	YOR347C	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743408653598132	10.599999999999978	6.0	0.20851887805524397	6.199999999999994	1.0	0.27043808871362846	dead (regular)
ACS2	YLR153C	Other	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743696260033716	10.699999999999978	6.0	0.20850715145036888	6.099999999999994	1.0	0.2704331464132137	dead (regular)
COX18	YGR062C	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.020002879170559363	10.09999999999998	6.0	0.20410700514947738	5.4999999999999964	1.0	0.26479328873718777	dead (regular)
LSC2	YGR244C	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
SOL4	YGR248W	Pentose phosphate	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340212514485	10.599999999999978	6.0	0.20851196707761954	6.199999999999994	1.0	0.2704291378021173	dead (regular)
GND2	YGR256W	Pentose phosphate	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743407397742053	10.599999999999978	6.0	0.20851911216688823	6.199999999999994	1.0	0.27043839192870517	dead (regular)
LSC1	YOR142W	TCA	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ALD6	YPL061W	Anaerobic excretion	complete	23	1.0	0.0	0.0	23.90000000000007	16.0	0.02080753229968494	10.399999999999979	6.0	0.1999158328806806	4.999999999999998	1.0	0.2594106312838045	dead (regular)
OLI1	Q0130	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
TIM11	YDR322C-A	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
ATP18	YML081C-A	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
ATP19	YOL077W-A	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
GPD1	YDL022W	Anaerobic excretion	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743414203135357	10.599999999999978	6.0	0.20850876233881083	6.199999999999994	1.0	0.27042498711099233	dead (regular)
SDH1	YKL148C	TCA	complete	23	1.0	0.0	0.0	23.90000000000007	16.0	0.020772450535085907	10.29999999999998	6.0	0.20151715487099714	5.299999999999997	1.0	0.2614569891946107	dead (regular)
COX12	YLR038C	Oxidative Phosphorylation	complete	18	0.782608695652174	0.0	-0.21739130434782608	21.20000000000003	9.0	0.004684453663830325	11.999999999999973	8.0	0.07574954079710877	13.499999999999968	1.0	0.09848402136482831	dead (regular)
ACS1	YAL054C	Other	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340847644751	10.599999999999978	6.0	0.20851888880827063	6.099999999999994	1.0	0.2704483492342112	dead (regular)
HFD1	YMR110C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	complete	23	1.0	0.0	0.0	23.500000000000064	16.0	0.020449897052003074	9.699999999999982	6.0	0.19460007239491342	4.6	1.0	0.2525575324569619	dead (regular)
COX20	YDR231C	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.020002879170559363	10.09999999999998	6.0	0.20410700514947738	5.4999999999999964	1.0	0.26479328873718777	dead (regular)
YLR446W	YLR446W	Glycolysis	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02065544394179259	10.499999999999979	6.0	0.20771964749974534	5.999999999999995	1.0	0.2694233164660823	dead (regular)
ATP17	YDR377W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
NDE2	YDL085W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.02074340852692095	10.599999999999978	6.0	0.2085188797503678	5.899999999999995	1.0	0.2704688325321339	dead (regular)
FAP7	YDL166C	Salvage pathways	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020743559373161816	10.599999999999978	6.0	0.2085161660858606	6.199999999999994	1.0	0.27043457624415024	dead (regular)
ATP16	YDL004W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
RKI1	YOR095C	Pentose phosphate	complete	0	0.0	0.0	-1.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATP20	YPR020W	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
ATP14	YLR295C	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.30000000000006	15.0	0.015632653621208362	12.299999999999972	7.0	0.2166991075651535	8.399999999999986	1.0	0.2807936554837577	dead (regular)
COX19	YLL018C-A	Oxidative Phosphorylation	complete	23	1.0	0.0	0.0	23.10000000000006	16.0	0.020002879170559363	10.09999999999998	6.0	0.20410703723573947	5.4999999999999964	1.0	0.26479333031190505	dead (regular)
SOD1	YJR104C	Oxidative stress	complete	23	1.0	0.0	0.0	23.800000000000068	16.0	0.020817586753107912	10.699999999999978	6.0	0.21225611935117517	6.8999999999999915	1.0	0.27741726685519585	dead (regular)
