# OVEREXPRESSION SIMULATIONS
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
# non-metabolic damage formation f0 = 0.0001
# damage repair r0 = 0.0005
enzyme(s)	standard name	pathway	overexpression span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
PYC1	YGL062W	TCA	complete	23	1.0	1.5310754476385835	0.0	24.200000000000074	16.0	0.02119366073362269	10.999999999999977	6.0	0.20934802517295312	6.499999999999993	1.0	0.2714810482878429	dead (regular)
ZWF1	YNL241C	Pentose phosphate	complete	0	0.0	0.0	-1.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	dead (overexpression)
LAT1	YNL071W	Other	complete	25	1.0869565217391304	1.6031678466823758	0.14416637461267257	29.900000000000155	18.0	0.03666707795786489	17.59999999999998	7.0	0.22987528342287458	0.0	0.0	NaN	dead (overexpression)
PGI1	YBR196C	Glycolysis	complete	23	1.0	1.5000118937555718	0.0	23.800000000000068	16.0	0.02074340848060902	10.599999999999978	6.0	0.20851887608810704	6.199999999999994	1.0	0.27043808616584575	dead (regular)
FBA1	YKL060C	Glycolysis	complete	23	1.0	1.495816014158476	0.0	23.800000000000068	16.0	0.020697592216079835	10.499999999999979	6.0	0.2068899800995923	5.899999999999995	1.0	0.2683587459296939	dead (regular)
TAL1	YLR354C	Pentose phosphate	complete	23	1.0	1.499999999122293	0.0	23.800000000000068	16.0	0.020743408621918383	10.599999999999978	6.0	0.2085188790463891	6.199999999999994	1.0	0.27043808999733293	dead (regular)
PDA1	YER178W	Other	complete	25	1.0869565217391304	1.568185576326721	0.1530424659867259	29.700000000000152	18.0	0.036449061898119015	16.99999999999997	7.0	0.22855699306058072	0.0	0.0	NaN	dead (overexpression)
PDX1	YGR193C	Other	complete	25	1.0869565217391304	1.6031678466823758	0.14416637461267257	29.900000000000155	18.0	0.03666707795786489	17.59999999999998	7.0	0.22987528342287458	0.0	0.0	NaN	dead (overexpression)
PDC5	YLR134W	Anaerobic excretion	complete	23	1.0	1.4965238020082379	0.0	23.700000000000067	16.0	0.020611029612511968	10.19999999999998	6.0	0.19935987969132518	5.099999999999998	1.0	0.2586805159888147	dead (regular)
PFK1	YGR240C	Glycolysis	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
PFK2	YMR205C	Glycolysis	complete	23	1.0	1.6477358835589841	0.0	24.60000000000008	15.0	0.016471884449458716	18.29999999999999	8.0	0.2655632826915934	0.0	0.0	NaN	dead (regular)
MDH1	YKL085W	TCA	complete	23	1.0	1.4999747363581577	0.0	23.800000000000068	16.0	0.020743516210364916	10.599999999999978	6.0	0.20852187499966773	6.199999999999994	1.0	0.27044197027508027	dead (regular)
GLK1	YCL040W	Glycolysis	complete	23	1.0	1.5003520693789727	0.0	23.800000000000068	16.0	0.02073400312827077	10.29999999999998	6.0	0.20000147758207326	5.1999999999999975	1.0	0.2595024544364042	dead (regular)
ACO1	YLR304C	TCA	complete	23	1.0	1.4999999844065977	0.0	23.800000000000068	16.0	0.02074340861048371	10.599999999999978	6.0	0.20851888972416593	6.199999999999994	1.0	0.2704381038269009	dead (regular)
COX11	YPL132W	Oxidative Phosphorylation	complete	23	1.0	1.5180833012751067	0.0	24.100000000000072	16.0	0.020944475595999688	10.799999999999978	6.0	0.2079211679115624	6.099999999999994	1.0	0.26967415082642143	dead (regular)
KGD1	YIL125W	TCA	complete	26	1.1304347826086956	2.555064894093793	0.08387738872126357	27.100000000000115	18.0	0.03360597490610154	13.699999999999967	7.0	0.21100357233072992	14.599999999999964	1.0	0.27278149647474814	dead (regular)
ATP15	YPL271W	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2379435143844646	-0.5481754060249004	29.400000000000148	18.0	0.03601349707353978	3.800000000000002	2.0	0.13578238454872726	0.0	0.0	NaN	dead (overexpression)
SDH2	YLL041C	TCA	complete	25	1.0869565217391304	0.978400045472944	4.025773370504525	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)
DAL7	YIR031C	Anaplerotic reactions 	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
IDP1	YDL066W	TCA	complete	25	1.0869565217391304	1.025585871270978	3.398614837782161	27.40000000000012	18.0	0.033848945506880654	13.899999999999967	7.0	0.2125062698487064	0.0	0.0	NaN	dead (overexpression)
QCR9	YGR183C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9544617118415321	-3.819050968122991	28.400000000000134	17.0	0.03275430616806846	3.700000000000002	2.0	0.15978510983753283	0.2	0.0	0.1659266020105165	dead (overexpression)
TKL1	YPR074C	Pentose phosphate	complete	23	1.0	1.500000000595362	0.0	23.800000000000068	16.0	0.020743408384493258	10.599999999999978	6.0	0.2085188774870167	6.199999999999994	1.0	0.27043808797767577	dead (regular)
PDC6	YGR087C	Anaerobic excretion	complete	23	1.0	1.4965252715123187	0.0	23.700000000000067	16.0	0.02061102772882004	10.19999999999998	6.0	0.19936003680309888	5.099999999999998	1.0	0.25868071961008515	dead (regular)
ICL1	YER065C	Anaplerotic reactions 	complete	23	1.0	1.49995501885454	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
ATP7	YKL016C	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2300354569906056	-0.5670203381473596	29.300000000000146	18.0	0.0358680360355387	3.700000000000002	2.0	0.13004800680050704	0.0	0.0	NaN	dead (overexpression)
MLS1	YNL117W	Anaplerotic reactions 	complete	23	1.0	1.4999669183524604	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
PYC2	YBR218C	TCA	complete	23	1.0	1.4999997966609235	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.2085211154942909	6.199999999999994	1.0	0.2704409865842349	dead (regular)
NDI1	YML120C	Oxidative Phosphorylation	complete	21	0.9130434782608695	1.1183248811637148	-0.7348963369658243	29.60000000000015	18.0	0.03625886026159522	7.29999999999999	3.0	0.1533743669139376	0.2	0.0	0.15957946235639625	dead (overexpression)
PDB1	YBR221C	Other	complete	25	1.0869565217391304	1.5671373568538713	0.15332532884363612	29.800000000000153	18.0	0.03646402010556228	16.89999999999997	7.0	0.2286397209030439	0.0	0.0	NaN	dead (overexpression)
COX13	YGL191W	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.943230858862189	-3.063513732858406	28.300000000000132	17.0	0.03267258313188804	3.700000000000002	2.0	0.15926438807061516	0.2	0.0	0.16613274440708806	dead (overexpression)
TKL2	YBR117C	Pentose phosphate	complete	23	1.0	1.5000000391880228	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
PGM1	YKL127W	Galactose metabolism	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
SDH3	YKL141W	TCA	complete	25	1.0869565217391304	0.978400045472944	4.025773370504525	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)
PGM2	YMR105C	Galactose metabolism	complete	23	1.0	1.5000000335464214	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887650032672	6.199999999999994	1.0	0.27043808669974156	dead (regular)
SDH4	YDR178W	TCA	complete	25	1.0869565217391304	0.9784000454746228	4.025773370817405	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)
QCR10	YHR001W-A	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9551736058211155	-3.8797018288877427	28.400000000000134	17.0	0.03271354834043376	3.700000000000002	2.0	0.15780004424288596	0.2	0.0	0.16473915121473767	dead (overexpression)
ATP3	YBR039W	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2261691089813371	-0.5767135184648882	29.100000000000144	18.0	0.03578512757083609	3.800000000000002	2.0	0.12965848628107488	0.0	0.0	NaN	dead (overexpression)
ADH5	YBR145W	Anaerobic excretion	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
GND1	YHR183W	Pentose phosphate	complete	0	0.0	0.0	-1.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	dead (overexpression)
COX23	YHR116W	Oxidative Phosphorylation	complete	23	1.0	1.5204242926807854	0.0	24.200000000000074	16.0	0.021044789714169242	10.699999999999978	6.0	0.20870480288026666	6.299999999999994	1.0	0.2706686330982232	dead (regular)
SOL3	YHR163W	Pentose phosphate	complete	0	0.0	0.0	-1.0	0.0	0.0	NaN	0.0	0.0	NaN	0.0	0.0	NaN	dead (overexpression)
ALD5	YER073W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	complete	23	1.0	1.5361711929090212	0.0	24.00000000000007	16.0	0.02086127640261676	10.799999999999978	6.0	0.2032816929611893	6.299999999999994	1.0	0.26364518906205026	dead (regular)
GPP2	YER062C	Anaerobic excretion	complete	23	1.0	1.5131578937280654	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851896221615523	6.299999999999994	1.0	0.2704279517320865	dead (regular)
NDE1	YMR145C	Oxidative Phosphorylation	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
GPP1	YIL053W	Anaerobic excretion	complete	23	1.0	1.5099999989933395	0.0	23.90000000000007	16.0	0.020791657074185038	10.29999999999998	6.0	0.20120541450370538	5.1999999999999975	1.0	0.26106269687619815	dead (regular)
GPD2	YOL059W	Anaerobic excretion	complete	23	1.0	NaN	NaN	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
ERR3	YMR323W	Glycolysis	complete	23	1.0	1.5000067721720358	0.0	23.800000000000068	16.0	0.020743408365618592	10.599999999999978	6.0	0.20851543585909182	6.199999999999994	1.0	0.27043363047416746	dead (regular)
CIT3	YPR001W	TCA	complete	23	1.0	1.5000000646210638	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.2085188643246785	6.199999999999994	1.0	0.27043807093017086	dead (regular)
ALD4	YOR374W	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	complete	23	1.0	1.5983833491749944	0.0	23.800000000000068	16.0	0.020743408476498273	10.799999999999978	6.0	0.21231044969664142	6.699999999999992	1.0	0.27529613312571766	dead (regular)
RPE1	YJL121C	Pentose phosphate	complete	23	1.0	1.499970066702123	0.0	23.800000000000068	16.0	0.020743659962994675	10.599999999999978	6.0	0.2085260176784235	6.199999999999994	1.0	0.27044733576068514	dead (regular)
SDH9	YJL045W	TCA	complete	23	1.0	1.499999998086441	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.199999999999994	1.0	0.2704380866546116	dead (regular)
COX16	YJL003W	Oxidative Phosphorylation	complete	23	1.0	1.521439054137485	0.0	24.200000000000074	16.0	0.021079092566238463	10.799999999999978	6.0	0.20898253293307226	6.299999999999994	1.0	0.27102831997755095	dead (regular)
ALD2	YMR170C	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	complete	23	1.0	1.4725945033499388	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.208520667292911	6.099999999999994	1.0	0.2704506528176805	dead (regular)
PYK2	YOR347C	Glycolysis	complete	23	1.0	1.4995346192419368	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851042739814452	6.199999999999994	1.0	0.27042714365085774	dead (regular)
ACS2	YLR153C	Other	complete	23	1.0	1.5009599392675563	0.0	23.800000000000068	16.0	0.02074375923050184	10.599999999999978	6.0	0.20646279077415594	5.799999999999995	1.0	0.2678154508807078	dead (regular)
COX18	YGR062C	Oxidative Phosphorylation	complete	23	1.0	1.5170629978418328	0.0	24.100000000000072	16.0	0.020944438281245238	10.699999999999978	6.0	0.20793488547048736	6.199999999999994	1.0	0.269681717295102	dead (regular)
LSC2	YGR244C	TCA	complete	25	1.0869565217391304	0.9784878184037015	4.042199130286828	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)
SOL4	YGR248W	Pentose phosphate	complete	23	1.0	1.4939512435814213	0.0	23.800000000000068	16.0	0.020743273025996673	10.29999999999998	6.0	0.20012467789104527	5.1999999999999975	1.0	0.25966211591633737	dead (regular)
GND2	YGR256W	Pentose phosphate	complete	23	1.0	1.4999703315212016	0.0	23.800000000000068	16.0	0.02074333783628629	10.599999999999978	6.0	0.20852640055701382	6.199999999999994	1.0	0.2704478316546916	dead (regular)
LSC1	YOR142W	TCA	complete	25	1.0869565217391304	0.9784878184037015	4.042199130286828	27.300000000000118	18.0	0.03374103785802397	13.999999999999966	7.0	0.21182805903799962	0.0	0.0	NaN	dead (overexpression)
ALD6	YPL061W	Anaerobic excretion	complete	19	0.8260869565217391	1.0753050768678054	-2.309446463796288	23.90000000000007	16.0	0.02075018466054443	4.200000000000001	3.0	0.09245462104038561	0.0	0.0	NaN	dead (overexpression)
OLI1	Q0130	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.23378783251039	-0.5579194657313867	29.400000000000148	18.0	0.03601116969620026	3.700000000000002	2.0	0.13072896354334396	0.0	0.0	NaN	dead (overexpression)
TIM11	YDR322C-A	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2336872302626298	-0.5581596498110155	29.300000000000146	18.0	0.0359677039745146	3.800000000000002	2.0	0.13053367074446184	0.0	0.0	NaN	dead (overexpression)
ATP18	YML081C-A	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2379614230557228	-0.5481341510474667	29.400000000000148	18.0	0.03601349707353978	3.800000000000002	2.0	0.13588358617530905	0.0	0.0	NaN	dead (overexpression)
ATP19	YOL077W-A	Oxidative Phosphorylation	complete	20	0.8695652173913043	1.2337874480911108	-0.5579203831245169	29.400000000000148	18.0	0.03601116969620026	3.700000000000002	2.0	0.1307287967198146	0.0	0.0	NaN	dead (overexpression)
GPD1	YDL022W	Anaerobic excretion	complete	23	1.0	1.4637681149661868	0.0	23.90000000000007	16.0	0.020807250959269004	10.29999999999998	6.0	0.20134164297486448	5.399999999999997	1.0	0.2612198546613075	dead (regular)
SDH1	YKL148C	TCA	complete	26	1.1304347826086956	3.813143277566109	0.04636620667310836	27.300000000000118	18.0	0.03374103785802397	13.899999999999967	7.0	0.21183478892343643	26.300000000000104	1.0	0.2726341498149481	dead (regular)
COX12	YLR038C	Oxidative Phosphorylation	complete	19	0.8260869565217391	0.9469579703243501	-3.278778066030522	28.400000000000134	17.0	0.03270424438202722	3.700000000000002	2.0	0.15792448872365625	0.2	0.0	0.16483285703610429	dead (overexpression)
ACS1	YAL054C	Other	complete	23	1.0	1.516368974533203	0.0	23.800000000000068	16.0	0.020743408476498273	10.599999999999978	6.0	0.20851887646548184	6.299999999999994	1.0	0.27042784067679476	dead (regular)
